the input_files/RomeoAndJuliet.txt:866
uncle input_files/RomeoAndJuliet.txt:4
can input_files/RomeoAndJuliet.txt:50
learn input_files/RomeoAndJuliet.txt:4
importund input_files/RomeoAndJuliet.txt:1
means input_files/RomeoAndJuliet.txt:11
counsellor input_files/RomeoAndJuliet.txt:2
secret input_files/RomeoAndJuliet.txt:4
far input_files/RomeoAndJuliet.txt:5
sounding input_files/RomeoAndJuliet.txt:2
discovery input_files/RomeoAndJuliet.txt:1
bud input_files/RomeoAndJuliet.txt:2
bit input_files/RomeoAndJuliet.txt:1
envious input_files/RomeoAndJuliet.txt:6
worm input_files/RomeoAndJuliet.txt:2
spread input_files/RomeoAndJuliet.txt:3
sweet input_files/RomeoAndJuliet.txt:33
leaves input_files/RomeoAndJuliet.txt:2
air input_files/RomeoAndJuliet.txt:7
dedicate input_files/RomeoAndJuliet.txt:1
beauty input_files/RomeoAndJuliet.txt:11
whence input_files/RomeoAndJuliet.txt:2
sorrows input_files/RomeoAndJuliet.txt:2
grow input_files/RomeoAndJuliet.txt:2
would input_files/RomeoAndJuliet.txt:56
willingly input_files/RomeoAndJuliet.txt:1
cure input_files/RomeoAndJuliet.txt:3
please input_files/RomeoAndJuliet.txt:6
step input_files/RomeoAndJuliet.txt:1
ill input_files/RomeoAndJuliet.txt:84
grievance input_files/RomeoAndJuliet.txt:1
much input_files/RomeoAndJuliet.txt:38
denied input_files/RomeoAndJuliet.txt:1
wert input_files/RomeoAndJuliet.txt:3
happy input_files/RomeoAndJuliet.txt:12
stay input_files/RomeoAndJuliet.txt:28
shrift input_files/RomeoAndJuliet.txt:5
lets input_files/RomeoAndJuliet.txt:7
morrow input_files/RomeoAndJuliet.txt:6
cousin input_files/RomeoAndJuliet.txt:15
rom input_files/RomeoAndJuliet.txt:163
day input_files/RomeoAndJuliet.txt:45
struck input_files/RomeoAndJuliet.txt:2
nine input_files/RomeoAndJuliet.txt:5
sad input_files/RomeoAndJuliet.txt:5
seem input_files/RomeoAndJuliet.txt:1
father input_files/RomeoAndJuliet.txt:25
went input_files/RomeoAndJuliet.txt:1
hence input_files/RomeoAndJuliet.txt:27
fast input_files/RomeoAndJuliet.txt:3
sadness input_files/RomeoAndJuliet.txt:4
lengthens input_files/RomeoAndJuliet.txt:1
romeos input_files/RomeoAndJuliet.txt:19
having input_files/RomeoAndJuliet.txt:8
short input_files/RomeoAndJuliet.txt:7
her input_files/RomeoAndJuliet.txt:156
favour input_files/RomeoAndJuliet.txt:2
alas input_files/RomeoAndJuliet.txt:8
gentle input_files/RomeoAndJuliet.txt:12
view input_files/RomeoAndJuliet.txt:3
tyrannous input_files/RomeoAndJuliet.txt:1
rough input_files/RomeoAndJuliet.txt:5
proof input_files/RomeoAndJuliet.txt:3
muffled input_files/RomeoAndJuliet.txt:1
still input_files/RomeoAndJuliet.txt:14
without input_files/RomeoAndJuliet.txt:21
eyes input_files/RomeoAndJuliet.txt:28
pathways input_files/RomeoAndJuliet.txt:1
dine input_files/RomeoAndJuliet.txt:1
yet input_files/RomeoAndJuliet.txt:47
tell input_files/RomeoAndJuliet.txt:45
heard input_files/RomeoAndJuliet.txt:2
heres input_files/RomeoAndJuliet.txt:9
brawling input_files/RomeoAndJuliet.txt:1
loving input_files/RomeoAndJuliet.txt:6
anything input_files/RomeoAndJuliet.txt:6
first input_files/RomeoAndJuliet.txt:9
create input_files/RomeoAndJuliet.txt:1
lightness input_files/RomeoAndJuliet.txt:1
serious input_files/RomeoAndJuliet.txt:1
vanity input_files/RomeoAndJuliet.txt:2
misshapen input_files/RomeoAndJuliet.txt:2
chaos input_files/RomeoAndJuliet.txt:1
wellseeming input_files/RomeoAndJuliet.txt:1
forms input_files/RomeoAndJuliet.txt:1
feather input_files/RomeoAndJuliet.txt:1
lead input_files/RomeoAndJuliet.txt:6
bright input_files/RomeoAndJuliet.txt:5
smoke input_files/RomeoAndJuliet.txt:2
cold input_files/RomeoAndJuliet.txt:7
sick input_files/RomeoAndJuliet.txt:7
health input_files/RomeoAndJuliet.txt:1
stillwaking input_files/RomeoAndJuliet.txt:1
sleep input_files/RomeoAndJuliet.txt:12
dost input_files/RomeoAndJuliet.txt:16
laugh input_files/RomeoAndJuliet.txt:3
coz input_files/RomeoAndJuliet.txt:4
rather input_files/RomeoAndJuliet.txt:4
weep input_files/RomeoAndJuliet.txt:9
heart input_files/RomeoAndJuliet.txt:26
hearts input_files/RomeoAndJuliet.txt:10
oppression input_files/RomeoAndJuliet.txt:3
loves input_files/RomeoAndJuliet.txt:14
transgression input_files/RomeoAndJuliet.txt:1
griefs input_files/RomeoAndJuliet.txt:3
mine input_files/RomeoAndJuliet.txt:29
breast input_files/RomeoAndJuliet.txt:6
propagate input_files/RomeoAndJuliet.txt:1
prest input_files/RomeoAndJuliet.txt:1
thine input_files/RomeoAndJuliet.txt:14
hast input_files/RomeoAndJuliet.txt:28
shown input_files/RomeoAndJuliet.txt:2
add input_files/RomeoAndJuliet.txt:1
grief input_files/RomeoAndJuliet.txt:13
raisd input_files/RomeoAndJuliet.txt:2
fume input_files/RomeoAndJuliet.txt:1
purgd input_files/RomeoAndJuliet.txt:2
sparkling input_files/RomeoAndJuliet.txt:1
vexd input_files/RomeoAndJuliet.txt:2
sea input_files/RomeoAndJuliet.txt:7
nourishd input_files/RomeoAndJuliet.txt:1
else input_files/RomeoAndJuliet.txt:13
madness input_files/RomeoAndJuliet.txt:1
discreet input_files/RomeoAndJuliet.txt:1
choking input_files/RomeoAndJuliet.txt:1
gall input_files/RomeoAndJuliet.txt:2
preserving input_files/RomeoAndJuliet.txt:1
farewell input_files/RomeoAndJuliet.txt:21
soft input_files/RomeoAndJuliet.txt:5
leave input_files/RomeoAndJuliet.txt:13
wrong input_files/RomeoAndJuliet.txt:2
tut input_files/RomeoAndJuliet.txt:4
lost input_files/RomeoAndJuliet.txt:3
hes input_files/RomeoAndJuliet.txt:11
some input_files/RomeoAndJuliet.txt:58
groan input_files/RomeoAndJuliet.txt:2
sadly input_files/RomeoAndJuliet.txt:1
bid input_files/RomeoAndJuliet.txt:22
make input_files/RomeoAndJuliet.txt:43
ah input_files/RomeoAndJuliet.txt:18
urgd input_files/RomeoAndJuliet.txt:3
woman input_files/RomeoAndJuliet.txt:3
aimd input_files/RomeoAndJuliet.txt:1
near input_files/RomeoAndJuliet.txt:7
supposd input_files/RomeoAndJuliet.txt:2
lovd input_files/RomeoAndJuliet.txt:3
markman input_files/RomeoAndJuliet.txt:1
shes input_files/RomeoAndJuliet.txt:12
mark input_files/RomeoAndJuliet.txt:6
soonest input_files/RomeoAndJuliet.txt:1
hit input_files/RomeoAndJuliet.txt:7
shell input_files/RomeoAndJuliet.txt:2
cupids input_files/RomeoAndJuliet.txt:2
arrow input_files/RomeoAndJuliet.txt:1
she input_files/RomeoAndJuliet.txt:115
dians input_files/RomeoAndJuliet.txt:1
wit input_files/RomeoAndJuliet.txt:12
strong input_files/RomeoAndJuliet.txt:3
chastity input_files/RomeoAndJuliet.txt:1
armd input_files/RomeoAndJuliet.txt:2
childish input_files/RomeoAndJuliet.txt:1
bow input_files/RomeoAndJuliet.txt:3
unharmd input_files/RomeoAndJuliet.txt:1
siege input_files/RomeoAndJuliet.txt:2
bide input_files/RomeoAndJuliet.txt:1
th input_files/RomeoAndJuliet.txt:5
encounter input_files/RomeoAndJuliet.txt:3
assailing input_files/RomeoAndJuliet.txt:1
ope input_files/RomeoAndJuliet.txt:2
lap input_files/RomeoAndJuliet.txt:1
saintseducing input_files/RomeoAndJuliet.txt:1
gold input_files/RomeoAndJuliet.txt:5
rich input_files/RomeoAndJuliet.txt:10
poor input_files/RomeoAndJuliet.txt:17
dies input_files/RomeoAndJuliet.txt:4
store input_files/RomeoAndJuliet.txt:2
sworn input_files/RomeoAndJuliet.txt:3
chaste input_files/RomeoAndJuliet.txt:1
sparing input_files/RomeoAndJuliet.txt:1
huge input_files/RomeoAndJuliet.txt:1
waste input_files/RomeoAndJuliet.txt:3
starvd input_files/RomeoAndJuliet.txt:1
severity input_files/RomeoAndJuliet.txt:1
cuts input_files/RomeoAndJuliet.txt:1
posterity input_files/RomeoAndJuliet.txt:1
wise input_files/RomeoAndJuliet.txt:5
wisely input_files/RomeoAndJuliet.txt:5
merit input_files/RomeoAndJuliet.txt:2
bliss input_files/RomeoAndJuliet.txt:2
making input_files/RomeoAndJuliet.txt:3
despair input_files/RomeoAndJuliet.txt:2
forsworn input_files/RomeoAndJuliet.txt:4
vow input_files/RomeoAndJuliet.txt:3
dead input_files/RomeoAndJuliet.txt:49
ruld input_files/RomeoAndJuliet.txt:3
forget input_files/RomeoAndJuliet.txt:9
think input_files/RomeoAndJuliet.txt:21
teach input_files/RomeoAndJuliet.txt:3
giving input_files/RomeoAndJuliet.txt:3
liberty input_files/RomeoAndJuliet.txt:3
unto input_files/RomeoAndJuliet.txt:9
examine input_files/RomeoAndJuliet.txt:2
beauties input_files/RomeoAndJuliet.txt:3
way input_files/RomeoAndJuliet.txt:11
hers input_files/RomeoAndJuliet.txt:4
exquisite input_files/RomeoAndJuliet.txt:1
question input_files/RomeoAndJuliet.txt:2
masks input_files/RomeoAndJuliet.txt:1
kiss input_files/RomeoAndJuliet.txt:10
ladies input_files/RomeoAndJuliet.txt:5
brows input_files/RomeoAndJuliet.txt:3
puts input_files/RomeoAndJuliet.txt:1
hide input_files/RomeoAndJuliet.txt:8
strucken input_files/RomeoAndJuliet.txt:1
blind input_files/RomeoAndJuliet.txt:5
cannot input_files/RomeoAndJuliet.txt:25
precious input_files/RomeoAndJuliet.txt:3
treasure input_files/RomeoAndJuliet.txt:1
eyesight input_files/RomeoAndJuliet.txt:2
mistress input_files/RomeoAndJuliet.txt:11
passing input_files/RomeoAndJuliet.txt:2
note input_files/RomeoAndJuliet.txt:4
read input_files/RomeoAndJuliet.txt:9
passd input_files/RomeoAndJuliet.txt:1
canst input_files/RomeoAndJuliet.txt:7
doctrine input_files/RomeoAndJuliet.txt:1
die input_files/RomeoAndJuliet.txt:23
debt input_files/RomeoAndJuliet.txt:2
ii input_files/RomeoAndJuliet.txt:6
street input_files/RomeoAndJuliet.txt:6
county input_files/RomeoAndJuliet.txt:19
clown input_files/RomeoAndJuliet.txt:1
bound input_files/RomeoAndJuliet.txt:10
penalty input_files/RomeoAndJuliet.txt:1
hard input_files/RomeoAndJuliet.txt:3
par input_files/RomeoAndJuliet.txt:23
honourable input_files/RomeoAndJuliet.txt:5
reckoning input_files/RomeoAndJuliet.txt:1
pity input_files/RomeoAndJuliet.txt:2
livd input_files/RomeoAndJuliet.txt:1
odds input_files/RomeoAndJuliet.txt:1
lord input_files/RomeoAndJuliet.txt:31
suit input_files/RomeoAndJuliet.txt:3
saying input_files/RomeoAndJuliet.txt:1
oer input_files/RomeoAndJuliet.txt:11
said input_files/RomeoAndJuliet.txt:15
child input_files/RomeoAndJuliet.txt:15
stranger input_files/RomeoAndJuliet.txt:1
change input_files/RomeoAndJuliet.txt:5
fourteen input_files/RomeoAndJuliet.txt:6
years input_files/RomeoAndJuliet.txt:12
summers input_files/RomeoAndJuliet.txt:2
wither input_files/RomeoAndJuliet.txt:1
pride input_files/RomeoAndJuliet.txt:2
ripe input_files/RomeoAndJuliet.txt:1
bride input_files/RomeoAndJuliet.txt:5
younger input_files/RomeoAndJuliet.txt:2
than input_files/RomeoAndJuliet.txt:49
mothers input_files/RomeoAndJuliet.txt:2
marrd input_files/RomeoAndJuliet.txt:1
earth input_files/RomeoAndJuliet.txt:19
swallowed input_files/RomeoAndJuliet.txt:1
hopes input_files/RomeoAndJuliet.txt:1
hopeful input_files/RomeoAndJuliet.txt:1
woo input_files/RomeoAndJuliet.txt:4
get input_files/RomeoAndJuliet.txt:14
consent input_files/RomeoAndJuliet.txt:5
agree input_files/RomeoAndJuliet.txt:10
within input_files/RomeoAndJuliet.txt:23
scope input_files/RomeoAndJuliet.txt:1
choice input_files/RomeoAndJuliet.txt:2
lies input_files/RomeoAndJuliet.txt:19
according input_files/RomeoAndJuliet.txt:1
voice input_files/RomeoAndJuliet.txt:5
accustomd input_files/RomeoAndJuliet.txt:1
feast input_files/RomeoAndJuliet.txt:6
whereto input_files/RomeoAndJuliet.txt:1
invited input_files/RomeoAndJuliet.txt:1
guest input_files/RomeoAndJuliet.txt:2
welcome input_files/RomeoAndJuliet.txt:8
number input_files/RomeoAndJuliet.txt:5
behold input_files/RomeoAndJuliet.txt:7
earthtreading input_files/RomeoAndJuliet.txt:1
stars input_files/RomeoAndJuliet.txt:7
dark input_files/RomeoAndJuliet.txt:7
heaven input_files/RomeoAndJuliet.txt:28
comfort input_files/RomeoAndJuliet.txt:10
lusty input_files/RomeoAndJuliet.txt:2
apparelld input_files/RomeoAndJuliet.txt:1
april input_files/RomeoAndJuliet.txt:1
heel input_files/RomeoAndJuliet.txt:2
limping input_files/RomeoAndJuliet.txt:1
winter input_files/RomeoAndJuliet.txt:1
treads input_files/RomeoAndJuliet.txt:1
even input_files/RomeoAndJuliet.txt:13
delight input_files/RomeoAndJuliet.txt:3
female input_files/RomeoAndJuliet.txt:1
buds input_files/RomeoAndJuliet.txt:1
inherit input_files/RomeoAndJuliet.txt:1
though input_files/RomeoAndJuliet.txt:11
reckning input_files/RomeoAndJuliet.txt:1
none input_files/RomeoAndJuliet.txt:15
paper input_files/RomeoAndJuliet.txt:4
sirrah input_files/RomeoAndJuliet.txt:6
trudge input_files/RomeoAndJuliet.txt:2
through input_files/RomeoAndJuliet.txt:10
find input_files/RomeoAndJuliet.txt:24
persons input_files/RomeoAndJuliet.txt:2
names input_files/RomeoAndJuliet.txt:6
written input_files/RomeoAndJuliet.txt:8
serv input_files/RomeoAndJuliet.txt:18
shoemaker input_files/RomeoAndJuliet.txt:1
meddle input_files/RomeoAndJuliet.txt:1
yard input_files/RomeoAndJuliet.txt:1
tailor input_files/RomeoAndJuliet.txt:2
last input_files/RomeoAndJuliet.txt:8
fisher input_files/RomeoAndJuliet.txt:1
pencil input_files/RomeoAndJuliet.txt:1
painter input_files/RomeoAndJuliet.txt:1
nets input_files/RomeoAndJuliet.txt:1
sent input_files/RomeoAndJuliet.txt:3
writ input_files/RomeoAndJuliet.txt:7
never input_files/RomeoAndJuliet.txt:18
writing input_files/RomeoAndJuliet.txt:4
person input_files/RomeoAndJuliet.txt:6
learned input_files/RomeoAndJuliet.txt:2
burns input_files/RomeoAndJuliet.txt:1
anothers input_files/RomeoAndJuliet.txt:3
burning input_files/RomeoAndJuliet.txt:2
lessoned input_files/RomeoAndJuliet.txt:1
anguish input_files/RomeoAndJuliet.txt:1
giddy input_files/RomeoAndJuliet.txt:1
holp input_files/RomeoAndJuliet.txt:1
backward input_files/RomeoAndJuliet.txt:3
turning input_files/RomeoAndJuliet.txt:2
desperate input_files/RomeoAndJuliet.txt:8
cures input_files/RomeoAndJuliet.txt:1
languish input_files/RomeoAndJuliet.txt:1
infection input_files/RomeoAndJuliet.txt:2
eye input_files/RomeoAndJuliet.txt:18
rank input_files/RomeoAndJuliet.txt:1
poison input_files/RomeoAndJuliet.txt:14
plantain input_files/RomeoAndJuliet.txt:1
leaf input_files/RomeoAndJuliet.txt:1
excellent input_files/RomeoAndJuliet.txt:2
pray input_files/RomeoAndJuliet.txt:17
broken input_files/RomeoAndJuliet.txt:1
shin input_files/RomeoAndJuliet.txt:1
mad input_files/RomeoAndJuliet.txt:10
madman input_files/RomeoAndJuliet.txt:2
shut input_files/RomeoAndJuliet.txt:5
prison input_files/RomeoAndJuliet.txt:2
kept input_files/RomeoAndJuliet.txt:1
food input_files/RomeoAndJuliet.txt:3
whippd input_files/RomeoAndJuliet.txt:1
tormented input_files/RomeoAndJuliet.txt:1
godden input_files/RomeoAndJuliet.txt:1
fellow input_files/RomeoAndJuliet.txt:9
god input_files/RomeoAndJuliet.txt:29
gi input_files/RomeoAndJuliet.txt:1
goden input_files/RomeoAndJuliet.txt:1
fortune input_files/RomeoAndJuliet.txt:7
misery input_files/RomeoAndJuliet.txt:2
perhaps input_files/RomeoAndJuliet.txt:1
book input_files/RomeoAndJuliet.txt:7
letters input_files/RomeoAndJuliet.txt:6
ye input_files/RomeoAndJuliet.txt:11
honestly input_files/RomeoAndJuliet.txt:1
merry input_files/RomeoAndJuliet.txt:8
reads input_files/RomeoAndJuliet.txt:1
signior input_files/RomeoAndJuliet.txt:4
martino input_files/RomeoAndJuliet.txt:1
daughters input_files/RomeoAndJuliet.txt:5
anselmo input_files/RomeoAndJuliet.txt:1
beauteous input_files/RomeoAndJuliet.txt:2
sisters input_files/RomeoAndJuliet.txt:1
widow input_files/RomeoAndJuliet.txt:1
vitruvio input_files/RomeoAndJuliet.txt:1
placentio input_files/RomeoAndJuliet.txt:1
lovely input_files/RomeoAndJuliet.txt:2
nieces input_files/RomeoAndJuliet.txt:1
brother input_files/RomeoAndJuliet.txt:5
valentine input_files/RomeoAndJuliet.txt:1
niece input_files/RomeoAndJuliet.txt:1
rosaline input_files/RomeoAndJuliet.txt:9
livia input_files/RomeoAndJuliet.txt:1
valentio input_files/RomeoAndJuliet.txt:1
lucio input_files/RomeoAndJuliet.txt:1
lively input_files/RomeoAndJuliet.txt:1
helena input_files/RomeoAndJuliet.txt:1
gives input_files/RomeoAndJuliet.txt:6
assembly input_files/RomeoAndJuliet.txt:1
whither input_files/RomeoAndJuliet.txt:2
supper input_files/RomeoAndJuliet.txt:4
indeed input_files/RomeoAndJuliet.txt:9
askd input_files/RomeoAndJuliet.txt:3
asking input_files/RomeoAndJuliet.txt:1
master input_files/RomeoAndJuliet.txt:10
great input_files/RomeoAndJuliet.txt:9
crush input_files/RomeoAndJuliet.txt:1
cup input_files/RomeoAndJuliet.txt:3
wine input_files/RomeoAndJuliet.txt:1
same input_files/RomeoAndJuliet.txt:15
sups input_files/RomeoAndJuliet.txt:1
whom input_files/RomeoAndJuliet.txt:6
lovst input_files/RomeoAndJuliet.txt:1
admired input_files/RomeoAndJuliet.txt:1
thither input_files/RomeoAndJuliet.txt:4
unattainted input_files/RomeoAndJuliet.txt:1
compare input_files/RomeoAndJuliet.txt:3
face input_files/RomeoAndJuliet.txt:22
swan input_files/RomeoAndJuliet.txt:1
crow input_files/RomeoAndJuliet.txt:4
devout input_files/RomeoAndJuliet.txt:1
religion input_files/RomeoAndJuliet.txt:1
maintains input_files/RomeoAndJuliet.txt:1
falsehood input_files/RomeoAndJuliet.txt:1
fires input_files/RomeoAndJuliet.txt:1
often input_files/RomeoAndJuliet.txt:3
drownd input_files/RomeoAndJuliet.txt:1
transparent input_files/RomeoAndJuliet.txt:1
heretics input_files/RomeoAndJuliet.txt:1
burnt input_files/RomeoAndJuliet.txt:2
liars input_files/RomeoAndJuliet.txt:1
fairer input_files/RomeoAndJuliet.txt:2
allseeing input_files/RomeoAndJuliet.txt:1
neer input_files/RomeoAndJuliet.txt:10
match input_files/RomeoAndJuliet.txt:4
since input_files/RomeoAndJuliet.txt:11
begun input_files/RomeoAndJuliet.txt:1
herself input_files/RomeoAndJuliet.txt:6
poisd input_files/RomeoAndJuliet.txt:1
crystal input_files/RomeoAndJuliet.txt:1
scales input_files/RomeoAndJuliet.txt:1
weighd input_files/RomeoAndJuliet.txt:1
ladys input_files/RomeoAndJuliet.txt:9
against input_files/RomeoAndJuliet.txt:11
shining input_files/RomeoAndJuliet.txt:1
scant input_files/RomeoAndJuliet.txt:1
seems input_files/RomeoAndJuliet.txt:3
best input_files/RomeoAndJuliet.txt:12
sight input_files/RomeoAndJuliet.txt:9
rejoice input_files/RomeoAndJuliet.txt:2
splendour input_files/RomeoAndJuliet.txt:1
iii input_files/RomeoAndJuliet.txt:6
wheres input_files/RomeoAndJuliet.txt:6
maidenhead input_files/RomeoAndJuliet.txt:2
twelve input_files/RomeoAndJuliet.txt:2
year input_files/RomeoAndJuliet.txt:3
bade input_files/RomeoAndJuliet.txt:1
lamb input_files/RomeoAndJuliet.txt:4
ladybird input_files/RomeoAndJuliet.txt:1
forbid input_files/RomeoAndJuliet.txt:3
girl input_files/RomeoAndJuliet.txt:6
jul input_files/RomeoAndJuliet.txt:117
calls input_files/RomeoAndJuliet.txt:10
mother input_files/RomeoAndJuliet.txt:30
matter input_files/RomeoAndJuliet.txt:6
awhile input_files/RomeoAndJuliet.txt:6
remembred input_files/RomeoAndJuliet.txt:1
thous input_files/RomeoAndJuliet.txt:1
knowest input_files/RomeoAndJuliet.txt:5
age input_files/RomeoAndJuliet.txt:6
faith input_files/RomeoAndJuliet.txt:18
teeth input_files/RomeoAndJuliet.txt:1
teen input_files/RomeoAndJuliet.txt:1
spoken input_files/RomeoAndJuliet.txt:1
lammastide input_files/RomeoAndJuliet.txt:1
fortnight input_files/RomeoAndJuliet.txt:1
odd input_files/RomeoAndJuliet.txt:2
days input_files/RomeoAndJuliet.txt:16
lammas input_files/RomeoAndJuliet.txt:2
eve input_files/RomeoAndJuliet.txt:2
susan input_files/RomeoAndJuliet.txt:3
christian input_files/RomeoAndJuliet.txt:1
souls input_files/RomeoAndJuliet.txt:2
earthquake input_files/RomeoAndJuliet.txt:1
eleven input_files/RomeoAndJuliet.txt:2
weand input_files/RomeoAndJuliet.txt:1
had input_files/RomeoAndJuliet.txt:19
laid input_files/RomeoAndJuliet.txt:5
wormwood input_files/RomeoAndJuliet.txt:2
dug input_files/RomeoAndJuliet.txt:3
sitting input_files/RomeoAndJuliet.txt:2
dovehouse input_files/RomeoAndJuliet.txt:2
brain input_files/RomeoAndJuliet.txt:3
taste input_files/RomeoAndJuliet.txt:3
nipple input_files/RomeoAndJuliet.txt:1
felt input_files/RomeoAndJuliet.txt:2
bitter input_files/RomeoAndJuliet.txt:3
fool input_files/RomeoAndJuliet.txt:6
tetchy input_files/RomeoAndJuliet.txt:1
fall input_files/RomeoAndJuliet.txt:14
shake input_files/RomeoAndJuliet.txt:2
quoth input_files/RomeoAndJuliet.txt:5
twas input_files/RomeoAndJuliet.txt:3
need input_files/RomeoAndJuliet.txt:11
trow input_files/RomeoAndJuliet.txt:2
highlone input_files/RomeoAndJuliet.txt:1
rood input_files/RomeoAndJuliet.txt:1
waddled input_files/RomeoAndJuliet.txt:1
broke input_files/RomeoAndJuliet.txt:2
brow input_files/RomeoAndJuliet.txt:4
husband input_files/RomeoAndJuliet.txt:13
soul input_files/RomeoAndJuliet.txt:14
took input_files/RomeoAndJuliet.txt:6
yea input_files/RomeoAndJuliet.txt:4
jule input_files/RomeoAndJuliet.txt:3
holidam input_files/RomeoAndJuliet.txt:1
wretch input_files/RomeoAndJuliet.txt:3
left input_files/RomeoAndJuliet.txt:4
crying input_files/RomeoAndJuliet.txt:2
jest input_files/RomeoAndJuliet.txt:6
warrant input_files/RomeoAndJuliet.txt:11
thousand input_files/RomeoAndJuliet.txt:7
yeas input_files/RomeoAndJuliet.txt:1
stinted input_files/RomeoAndJuliet.txt:2
enough input_files/RomeoAndJuliet.txt:8
choose input_files/RomeoAndJuliet.txt:4
bad input_files/RomeoAndJuliet.txt:5
bump input_files/RomeoAndJuliet.txt:1
big input_files/RomeoAndJuliet.txt:2
cockrels input_files/RomeoAndJuliet.txt:1
stone input_files/RomeoAndJuliet.txt:2
perilous input_files/RomeoAndJuliet.txt:1
knock input_files/RomeoAndJuliet.txt:7
cried input_files/RomeoAndJuliet.txt:1
bitterly input_files/RomeoAndJuliet.txt:2
fallst input_files/RomeoAndJuliet.txt:1
comest input_files/RomeoAndJuliet.txt:1
stint input_files/RomeoAndJuliet.txt:1
done input_files/RomeoAndJuliet.txt:10
grace input_files/RomeoAndJuliet.txt:5
wast input_files/RomeoAndJuliet.txt:6
prettiest input_files/RomeoAndJuliet.txt:2
babe input_files/RomeoAndJuliet.txt:1
eer input_files/RomeoAndJuliet.txt:3
nursd input_files/RomeoAndJuliet.txt:2
married input_files/RomeoAndJuliet.txt:19
wish input_files/RomeoAndJuliet.txt:7
very input_files/RomeoAndJuliet.txt:26
theme input_files/RomeoAndJuliet.txt:1
stands input_files/RomeoAndJuliet.txt:4
disposition input_files/RomeoAndJuliet.txt:2
honour input_files/RomeoAndJuliet.txt:5
dream input_files/RomeoAndJuliet.txt:10
suckd input_files/RomeoAndJuliet.txt:2
wisdom input_files/RomeoAndJuliet.txt:4
teat input_files/RomeoAndJuliet.txt:1
marriage input_files/RomeoAndJuliet.txt:11
esteem input_files/RomeoAndJuliet.txt:1
already input_files/RomeoAndJuliet.txt:6
thus input_files/RomeoAndJuliet.txt:10
brief input_files/RomeoAndJuliet.txt:5
seeks input_files/RomeoAndJuliet.txt:1
wax input_files/RomeoAndJuliet.txt:2
summer input_files/RomeoAndJuliet.txt:2
flower input_files/RomeoAndJuliet.txt:9
gentleman input_files/RomeoAndJuliet.txt:14
volume input_files/RomeoAndJuliet.txt:2
beautys input_files/RomeoAndJuliet.txt:2
pen input_files/RomeoAndJuliet.txt:1
every input_files/RomeoAndJuliet.txt:11
lineament input_files/RomeoAndJuliet.txt:1
another input_files/RomeoAndJuliet.txt:11
lends input_files/RomeoAndJuliet.txt:3
content input_files/RomeoAndJuliet.txt:3
obscurd input_files/RomeoAndJuliet.txt:1
margent input_files/RomeoAndJuliet.txt:1
unbound input_files/RomeoAndJuliet.txt:1
lover input_files/RomeoAndJuliet.txt:4
beautify input_files/RomeoAndJuliet.txt:1
lacks input_files/RomeoAndJuliet.txt:1
cover input_files/RomeoAndJuliet.txt:2
manys input_files/RomeoAndJuliet.txt:1
share input_files/RomeoAndJuliet.txt:3
glory input_files/RomeoAndJuliet.txt:1
clasps input_files/RomeoAndJuliet.txt:1
story input_files/RomeoAndJuliet.txt:2
possess input_files/RomeoAndJuliet.txt:1
yourself input_files/RomeoAndJuliet.txt:5
less input_files/RomeoAndJuliet.txt:6
bigger input_files/RomeoAndJuliet.txt:2
briefly input_files/RomeoAndJuliet.txt:1
looking input_files/RomeoAndJuliet.txt:1
liking input_files/RomeoAndJuliet.txt:1
endart input_files/RomeoAndJuliet.txt:1
strength input_files/RomeoAndJuliet.txt:6
fly input_files/RomeoAndJuliet.txt:4
servingman input_files/RomeoAndJuliet.txt:5
guests input_files/RomeoAndJuliet.txt:4
servd input_files/RomeoAndJuliet.txt:2
calld input_files/RomeoAndJuliet.txt:3
cursd input_files/RomeoAndJuliet.txt:1
pantry input_files/RomeoAndJuliet.txt:1
everything input_files/RomeoAndJuliet.txt:1
extremity input_files/RomeoAndJuliet.txt:1
wait input_files/RomeoAndJuliet.txt:1
beseech input_files/RomeoAndJuliet.txt:7
follow input_files/RomeoAndJuliet.txt:8
straight input_files/RomeoAndJuliet.txt:10
stays input_files/RomeoAndJuliet.txt:2
nights input_files/RomeoAndJuliet.txt:6
iv input_files/RomeoAndJuliet.txt:5
five input_files/RomeoAndJuliet.txt:5
six input_files/RomeoAndJuliet.txt:1
speech input_files/RomeoAndJuliet.txt:1
spoke input_files/RomeoAndJuliet.txt:6
excuse input_files/RomeoAndJuliet.txt:5
apology input_files/RomeoAndJuliet.txt:1
prolixity input_files/RomeoAndJuliet.txt:1
cupid input_files/RomeoAndJuliet.txt:3
hoodwinkd input_files/RomeoAndJuliet.txt:1
scarf input_files/RomeoAndJuliet.txt:1
bearing input_files/RomeoAndJuliet.txt:1
tartars input_files/RomeoAndJuliet.txt:1
painted input_files/RomeoAndJuliet.txt:1
lath input_files/RomeoAndJuliet.txt:1
scaring input_files/RomeoAndJuliet.txt:1
crowkeeper input_files/RomeoAndJuliet.txt:1
withoutbook input_files/RomeoAndJuliet.txt:1
faintly input_files/RomeoAndJuliet.txt:1
after input_files/RomeoAndJuliet.txt:4
prompter input_files/RomeoAndJuliet.txt:1
entrance input_files/RomeoAndJuliet.txt:2
measure input_files/RomeoAndJuliet.txt:7
gone input_files/RomeoAndJuliet.txt:33
